highway,bicycle,width,shoulder,geometry,speed_lim,nlanes,pave_ref,nacc,PCI
residential,,,,"LINESTRING (-118.370257 33.9490815, -118.3702594 33.9483281)",25,2,1968.0,0,41.39
residential,,,,"LINESTRING (-118.3702594 33.9483281, -118.3702488 33.9475723)",25,2,5724.0,0,57.48
residential,,,,"LINESTRING (-118.3702488 33.9475723, -118.3702568 33.9468588)",25,2,23367.0,0,54.89
residential,,,,"LINESTRING (-118.3702568 33.9468588, -118.370241 33.9466567)",25,2,65948.0,0,76.68
residential,,,,"LINESTRING (-118.370241 33.9466567, -118.3700422 33.9466363)",25,2,65948.0,0,76.68
residential,,,,"LINESTRING (-118.3702729 33.9496979, -118.3706538 33.949689)",25,2,45557.0,0,62.63
residential,,,,"LINESTRING (-118.3702836 33.9503209, -118.3706538 33.9503165)",25,2,54247.0,0,58.45
secondary,,,,"LINESTRING (-118.3700705 33.9520284, -118.3700713 33.9519968)",35,4,59252.0,0,60.49
secondary,,,,"LINESTRING (-118.3700713 33.9519968, -118.3700712 33.9507349)",35,4,59252.0,0,60.49
secondary,,,,"LINESTRING (-118.3700711 33.9493249, -118.3700711 33.9486771)",35,4,34648.0,0,67.9
residential,,,,"LINESTRING (-118.3702778 33.9509766, -118.3703934 33.9509803)",25,2,1966.0,1,55.94
residential,,,,"LINESTRING (-118.3703934 33.9509803, -118.3706591 33.9509839)",25,2,1966.0,0,55.94
residential,,,,"LINESTRING (-118.3702835 33.951647, -118.3706373 33.9516538)",25,2,68644.0,0,64.67
secondary,,,,"LINESTRING (-118.3700562 33.9526836, -118.3700705 33.9520284)",35,5,59252.0,0,60.49
primary,,,,"LINESTRING (-118.3701736 33.9684661, -118.3702504 33.9683669)",35,3,26323.0,0,85.03
primary,,,,"LINESTRING (-118.3701297 33.9683649, -118.3701736 33.9684661)",35,3,26323.0,0,85.03
residential,,,,"LINESTRING (-118.3699769 33.9683835, -118.3701736 33.9684661)",25,2,26323.0,0,85.03
primary,,,,"LINESTRING (-118.3701736 33.9684661, -118.3701703 33.9688489)",35,6,26323.0,0,85.03
service,,,,"LINESTRING (-118.30968 33.9352567, -118.3096586 33.9382222)",30,2,62475.0,0,28.4
tertiary,,,,"LINESTRING (-118.3090206 33.9418656, -118.3096053 33.9418649)",30,3,8301.0,0,79.28
tertiary,,,,"LINESTRING (-118.3096053 33.9418649, -118.3101678 33.9418642)",30,3,19565.0,0,88.85
tertiary,,,,"LINESTRING (-118.3101678 33.9418642, -118.3112156 33.9418395)",30,3,19979.0,0,83.49
tertiary,,,,"LINESTRING (-118.3112156 33.9418395, -118.3123119 33.9418615)",30,3,19979.0,0,83.49
tertiary,,,,"LINESTRING (-118.3123119 33.9418615, -118.3134075 33.9418604)",30,3,51081.0,0,88.85
tertiary,,,,"LINESTRING (-118.3134075 33.9418604, -118.3138622 33.9418596)",30,3,51081.0,0,88.85
tertiary,,,,"LINESTRING (-118.3143393 33.9382251, -118.3134088 33.9382193)",30,3,2064.0,0,88.87
tertiary,,,,"LINESTRING (-118.3134088 33.9382193, -118.3123099 33.9382278)",30,3,2064.0,0,88.87
tertiary,,,,"LINESTRING (-118.3123099 33.9382278, -118.3112494 33.9382232)",30,3,53504.0,0,72.58
tertiary,,,,"LINESTRING (-118.3112494 33.9382232, -118.3101817 33.9382224)",30,3,62105.0,0,76.95
tertiary,,,,"LINESTRING (-118.3101817 33.9382224, -118.3096586 33.9382222)",30,3,59096.0,0,88.87
tertiary,,,,"LINESTRING (-118.3096586 33.9382222, -118.3095972 33.9382222)",30,3,62475.0,0,28.4
tertiary,,,,"LINESTRING (-118.3095972 33.9382222, -118.3095445 33.9382217)",30,3,62475.0,0,28.4
service,,,,"LINESTRING (-118.3117698 33.9386867, -118.3117698 33.9400352)",30,2,19566.0,0,74.8
residential,,,,"LINESTRING (-118.3134062 33.9454608, -118.313407 33.9432327)",25,2,61024.0,0,86.31
residential,,,,"LINESTRING (-118.313407 33.9432327, -118.3134075 33.9418604)",25,2,51081.0,0,88.85
residential,,,,"LINESTRING (-118.3134075 33.9418604, -118.3134081 33.9400352)",25,2,56355.0,0,88.87
residential,,,,"LINESTRING (-118.3134081 33.9400352, -118.3134086 33.9386889)",25,2,2064.0,0,88.87
residential,,,,"LINESTRING (-118.3134086 33.9386889, -118.3134088 33.9382193)",25,2,2064.0,0,88.87
residential,,,,"LINESTRING (-118.3134088 33.9382193, -118.313409 33.9377521)",25,2,2064.0,0,88.87
residential,,,,"LINESTRING (-118.3143128 33.9454608, -118.3143135 33.9452878)",25,2,27390.0,0,86.31
residential,,,,"LINESTRING (-118.3122958 33.9454608, -118.3122877 33.9432091)",25,2,12660.0,0,30.04
residential,,,,"LINESTRING (-118.3122877 33.9432091, -118.3123119 33.9418615)",25,2,57985.0,0,79.62
residential,,,,"LINESTRING (-118.3123119 33.9418615, -118.3123169 33.940033)",25,2,54907.0,0,63.94
